station_code,provider_id,municipality,name_en,name_it,name_de,standard_name,netex_type,netex_vehicletypes,netex_layout,netex_hazard_prohibited,netex_charging,netex_surveillance,netex_reservation,lat,lon
Bruneck-Mobilitaetszentrum_A023_19_STD,fcf3404a-cd9f-4eb3-9a7a-07f941e5b549,Brunico,Parking Bruneck Mobility Center (A023_19_STD),Parcheggio Brunico Centro Mobilità (A023_19_STD),Parking Bruneck Mobility Center (A023_19_STD),Parkplatz Bruneck Mobilitaetszentrum (A023_19_STD),urbanParking,allPassengerVehicles,openSpace,false,false,true,noReservations,46.79246,11.92889
Bruneck-Mobilitaetszentrum_A024_17_STD,6c370ae3-4cad-4f8f-b5ca-df482f0771b4,Brunico,Parking Bruneck Mobility Center (A024_17_STD),Parcheggio Brunico Centro Mobilità (A024_17_STD),Parking Bruneck Mobility Center (A024_17_STD),Parkplatz Bruneck Mobilitaetszentrum (A024_17_STD),urbanParking,allPassengerVehicles,openSpace,false,false,true,noReservations,46.79246,11.92889
Bruneck-Mobilitaetszentrum_A025_15_STD,e1107d6a-de8c-43ee-a9c9-057a67bcc79e,Brunico,Parking Bruneck Mobility Center (A025_15_STD),Parcheggio Brunico Centro Mobilità (A025_15_STD),Parking Bruneck Mobility Center (A025_15_STD),Parkplatz Bruneck Mobilitaetszentrum (A025_15_STD),urbanParking,allPassengerVehicles,openSpace,false,false,true,noReservations,46.79246,11.92889
Bruneck-Mobilitaetszentrum_A029_17_STD,23ddea77-2dae-4f83-b7df-87ab3190e399,Brunico,Parking Bruneck Mobility Center (A029_17_STD),Parcheggio Brunico Centro Mobilità (A029_17_STD),Parking Bruneck Mobility Center (A029_17_STD),Parkplatz Bruneck Mobilitaetszentrum (A029_17_STD),urbanParking,allPassengerVehicles,openSpace,false,false,true,noReservations,46.79246,11.92889
Bruneck-Mobilitaetszentrum_A026_16_STD,e8d14f66-5651-4037-a141-d710ba103939,Brunico,Parking Bruneck Mobility Center (A026_16_STD),Parcheggio Brunico Centro Mobilità (A026_16_STD),Parking Bruneck Mobility Center (A026_16_STD),Parkplatz Bruneck Mobilitaetszentrum (A026_16_STD),urbanParking,allPassengerVehicles,openSpace,false,false,true,noReservations,46.79246,11.92889
Bruneck-Mobilitaetszentrum_A030_07_STD,b06b1d55-bee3-4acb-8a08-f680f12a79c5,Brunico,Parking Bruneck Mobility Center (A031_12_STD),Parcheggio Brunico Centro Mobilità (A031_12_STD),Parking Bruneck Mobility Center (A031_12_STD),Parkplatz Bruneck Mobilitaetszentrum (A030_07_STD),urbanParking,allPassengerVehicles,openSpace,false,false,true,noReservations,46.79246,11.92889
Salurn-Banhof_A002_05_STD,cda35355-bb06-4eca-907d-4609d50c21ca,Salorno,Parking Salurn train station (A002_05_STD),Parcheggio Salorno stazione treni(A002_05_STD),Parking Salurn train station (A002_05_STD),Parkplatz Salurn Bahnhof (A002_05_STD),urbanParking,allPassengerVehicles,openSpace,false,false,true,noReservations,46.2459784652761,11.2035783419516
Bruneck-Mobilitaetszentrum_A001_07_STD,a20966dd-ac00-447b-b357-9824a8a898e7,Brunico,Parking Bruneck Mobility Center (A001_07_STD),Parcheggio Brunico Centro Mobilità (A001_07_STD),Parking Bruneck Mobility Center (A001_07_STD),Parkplatz Bruneck Mobilitaetszentrum (A001_07_STD),urbanParking,allPassengerVehicles,openSpace,false,false,true,noReservations,46.79246,11.92889
Bruneck-Mobilitaetszentrum_A027_19_STD,bd961e26-f256-4a5d-8375-63de13f2dafa,Brunico,Parking Bruneck Mobility Center (A027_19_STD),Parcheggio Brunico Centro Mobilità (A027_19_STD),Parking Bruneck Mobility Center (A027_19_STD),Parkplatz Bruneck Mobilitaetszentrum (A027_19_STD),urbanParking,allPassengerVehicles,openSpace,false,false,true,noReservations,46.79246,11.92889
Bruneck-Mobilitaetszentrum_A028_14_STD,14da0ef9-d230-444c-b9b8-b60d154434dd,Brunico,Parking Bruneck Mobility Center (A028_14_STD),Parcheggio Brunico Centro Mobilità (A028_14_STD),Parking Bruneck Mobility Center (A028_14_STD),Parkplatz Bruneck Mobilitaetszentrum (A028_14_STD),urbanParking,allPassengerVehicles,openSpace,false,false,true,noReservations,46.79246,11.92889
Salurn-Banhof_A004_05_STD,290cded1-db0c-4c30-ac9a-6b16b51b9a2b,Salorno,Parking Salurn train station (A004_05_STD),Parking Salurn train station (A004_05_STD),Parking Salurn train station (A004_05_STD),Parkplatz Salurn Bahnhof (A004_05_STD),urbanParking,allPassengerVehicles,openSpace,false,false,true,noReservations,46.2459784652761,11.2035783419516
