"code";"label"
P214250;"{""de"": ""Einzelnes Spielgerät"", ""el"": ""Όργανο παιδικής χαράς"", ""en"": ""Simple play equipment"", ""fi"": ""Simple play equipment"", ""fr"": ""Équipement de jeu simple"", ""he"": ""ציוד למגרש משחקים"", ""hu"": ""Egyszerű játékeszköz"", ""it"": ""Gioco singolo"", ""pl"": ""Proste urządzenie zabawowe"", ""ru"": ""Оборудование игровой площадки"", ""sl"": ""posamezna igrala"", ""uk"": ""Просте ігрове обладнання"", ""zh"": ""Simple play equipment""}"
P214269;"{""de"": ""Fussballtor"", ""el"": ""Εστία ποδοσφαίρου"", ""en"": ""Football goal"", ""fi"": ""Football goal"", ""fr"": ""Football goal"", ""he"": ""Football goal"", ""hu"": ""Football goal"", ""it"": ""Porta calcio"", ""pl"": ""Bramka piłkarska"", ""ru"": ""Football goal"", ""sl"": ""Gol za veliki nogomet"", ""uk"": ""Футбольні ворота"", ""zh"": ""Football goal""}"
P214270;"{""de"": ""Kleinfeld-Fußballtor"", ""el"": ""Εστία φούτσαλ"", ""en"": ""Futsal goal"", ""fi"": ""Futsal goal"", ""fr"": ""Futsal goal"", ""he"": ""Futsal goal"", ""hu"": ""Futsal goal"", ""it"": ""Porta calcetto"", ""pl"": ""Bramka do futsalu"", ""ru"": ""Futsal goal"", ""sl"": ""Gol za mali nogomet"", ""uk"": ""Футбольний тримач"", ""zh"": ""Futsal goal""}"
P214271;"{""de"": ""Grund- / Grabstein"", ""el"": ""Ταφόπλακα"", ""en"": ""Headstone"", ""fi"": ""Headstone"", ""fr"": ""Headstone"", ""he"": ""Headstone"", ""hu"": ""Headstone"", ""it"": ""Cippo / lapide"", ""pl"": ""Nagrobek"", ""ru"": ""Headstone"", ""sl"": ""Kip/nagrobna plošča"", ""uk"": ""Надгробок"", ""zh"": ""Headstone""}"
P214272;"{""de"": ""Picknick-Tisch"", ""el"": ""Τραπέζι πικνίκ"", ""en"": ""Picnic table"", ""fi"": ""Picnic table"", ""fr"": ""Table de pique-nique"", ""he"": ""שולחן פיקניק"", ""hu"": ""Piknik asztal"", ""it"": ""Tavolo pic-nic"", ""pl"": ""Stół piknikowy"", ""ru"": ""Стол для пикника"", ""sl"": ""Miza za piknik"", ""uk"": ""Стіл для пікніка"", ""zh"": ""Picnic table""}"
P214273;"{""de"": ""Pfahl im Sandkasten im Hundebereich"", ""el"": ""Πάσσαλος στην αμμοδόχο εντός της περιοχής για σκύλους"", ""en"": ""Pole in the sandpit within dog area"", ""fi"": ""Pole in the sandpit within dog area"", ""fr"": ""Pole in the sandpit within dog area"", ""he"": ""Pole in the sandpit within dog area"", ""hu"": ""Pole in the sandpit within dog area"", ""it"": ""Palo sabbionaia aree cani"", ""pl"": ""Słupek w piaskownicy na wybiegu dla psów"", ""ru"": ""Pole in the sandpit within dog area"", ""sl"": ""Kol na pesku na območju za pse."", ""uk"": ""Зони для собак пісочниці"", ""zh"": ""Pole in the sandpit within dog area""}"
P214274;"{""de"": ""Lichtreflektor"", ""el"": ""Ανακλαστήρας"", ""en"": ""Reflector"", ""fi"": ""Reflector"", ""fr"": ""Reflector"", ""he"": ""Reflector"", ""hu"": ""Reflector"", ""it"": ""Catarifrangente"", ""pl"": ""Reflektor"", ""ru"": ""Reflector"", ""sl"": ""Svetlobni odbojnik"", ""uk"": ""Відбивач"", ""zh"": ""Reflector""}"
P214275;"{""de"": ""Fahnenmast"", ""el"": ""Στύλος σημαίας"", ""en"": ""Flagpole"", ""fi"": ""Flagpole"", ""fr"": ""Flagpole"", ""he"": ""Flagpole"", ""hu"": ""Flagpole"", ""it"": ""Pennone bandiera"", ""pl"": ""Maszt flagowy"", ""ru"": ""Flagpole"", ""sl"": ""Sreber za zastavo"", ""uk"": ""Флагшток"", ""zh"": ""Flagpole""}"
P214276;"{""de"": ""Ampel"", ""el"": ""Φωτεινός σηματοδότης"", ""en"": ""Traffic light"", ""fi"": ""Traffic light"", ""fr"": ""Traffic light"", ""he"": ""Traffic light"", ""hu"": ""Traffic light"", ""it"": ""Impianto semaforico"", ""pl"": ""Sygnalizacja świetlna"", ""ru"": ""Traffic light"", ""sl"": ""Prometni znak"", ""uk"": ""Світлофор"", ""zh"": ""Traffic light""}"
P214277;"{""de"": ""Gassäule"", ""el"": ""Σωλήνας αερίου"", ""en"": ""Breather gas pipe"", ""fi"": ""Breather gas pipe"", ""fr"": ""Breather gas pipe"", ""he"": ""Breather gas pipe"", ""hu"": ""Breather gas pipe"", ""it"": ""Colonnina gas"", ""pl"": ""Rurka odpowietrzająca"", ""ru"": ""Breather gas pipe"", ""sl"": ""Breather gas pipe"", ""uk"": ""Газова колонка"", ""zh"": ""Breather gas pipe""}"
P214278;"{""de"": ""Belüftungsschornstein"", ""el"": ""Καμινάδα εξαερισμού"", ""en"": ""Aeration chimney"", ""fi"": ""Aeration chimney"", ""fr"": ""Aeration chimney"", ""he"": ""Aeration chimney"", ""hu"": ""Aeration chimney"", ""it"": ""Camino aerazione"", ""pl"": ""Komin napowietrzający"", ""ru"": ""Aeration chimney"", ""sl"": ""Zračnik"", ""uk"": ""Вентиляція димоходу"", ""zh"": ""Aeration chimney""}"
P214279;"{""de"": ""Kameramast"", ""el"": ""Στύλος κάμερας"", ""en"": ""Camera pole"", ""fi"": ""Camera pole"", ""fr"": ""Camera pole"", ""he"": ""Camera pole"", ""hu"": ""Camera pole"", ""it"": ""Palo telecamera"", ""pl"": ""Słup kamery"", ""ru"": ""Camera pole"", ""sl"": ""Steber za nadzorno kamero"", ""uk"": ""Стовп камери"", ""zh"": ""Camera pole""}"
P214265;"{""de"": ""Mast"", ""el"": ""Στύλος"", ""en"": ""Pole"", ""fi"": ""Pole"", ""fr"": ""Pole"", ""he"": ""Pole"", ""hu"": ""Pole"", ""it"": ""Palo"", ""pl"": ""Słup"", ""ru"": ""Pole"", ""sl"": ""Kol"", ""uk"": ""полюс"", ""zh"": ""Pole""}"
P214266;"{""de"": ""Spender für Hundekotbeutel"", ""el"": ""Διανομέας σακούλας απορριμμάτων σκύλου"", ""en"": ""Dog waste bag dispenser"", ""fi"": ""Dog waste bag dispenser"", ""fr"": ""Dog waste bag dispenser"", ""he"": ""Dog waste bag dispenser"", ""hu"": ""Dog waste bag dispenser"", ""it"": ""Distributore porta paletta cani"", ""pl"": ""Podajnik torebek na psie odchody"", ""ru"": ""Dog waste bag dispenser"", ""sl"": ""Smetnjak za pasje iztrebke"", ""uk"": ""Диспенсер пакетів для собачих відходів"", ""zh"": ""Dog waste bag dispenser""}"
P214267;"{""de"": ""Straßenbeleuchtung"", ""el"": ""Φωτιστικό πόλης"", ""en"": ""Streetlamp"", ""fi"": ""Streetlamp"", ""fr"": ""Streetlamp"", ""he"": ""Streetlamp"", ""hu"": ""Streetlamp"", ""it"": ""Lampione"", ""pl"": ""Latarnia uliczna"", ""ru"": ""Streetlamp"", ""sl"": ""Cestna številka"", ""uk"": ""Вуличний ліхтар"", ""zh"": ""Streetlamp""}"
P214268;"{""de"": ""Basketball Korb"", ""el"": ""Καλάθι μπάσκετ"", ""en"": ""Basketball basket"", ""fi"": ""Basketball basket"", ""fr"": ""Basketball basket"", ""he"": ""Basketball basket"", ""hu"": ""Basketball basket"", ""it"": ""Canestro basket"", ""pl"": ""Kosz do koszykówki"", ""ru"": ""Basketball basket"", ""sl"": ""Koš za košarko"", ""uk"": ""Баскетбольний кошик"", ""zh"": ""Basketball basket""}"
P214287;"{""de"": ""Tennisnetz"", ""el"": ""Δίχτυ τένις"", ""en"": ""Tennis net"", ""fi"": ""Tennis net"", ""fr"": ""Tennis net"", ""he"": ""Tennis net"", ""hu"": ""Tennis net"", ""it"": ""Rete da tennis"", ""pl"": ""Siatka do tenisa"", ""ru"": ""Tennis net"", ""sl"": ""Mreža za tenik"", ""uk"": ""Тенісна сітка"", ""zh"": ""Tennis net""}"
P214288;"{""de"": ""Sportgerät"", ""el"": ""Εξοπλισμός άθλησης"", ""en"": ""Sport equipment"", ""fi"": ""Sport equipment"", ""fr"": ""Équipement sportif"", ""he"": ""ציוד ספורט"", ""hu"": ""Sporteszköz"", ""it"": ""Attrezzo sportivo"", ""pl"": ""Sprzęt sportowy"", ""ru"": ""Спортивный инвентарь"", ""sl"": ""Športna oprema"", ""uk"": ""Спортивний інвентар"", ""zh"": ""Sport equipment""}"
P214290;"{""de"": ""Tischtennis-Tisch"", ""el"": ""Τραπέζι πινγκ-πονγκ"", ""en"": ""Ping-pong table"", ""fi"": ""Ping-pong table"", ""fr"": ""Ping-pong table"", ""he"": ""Ping-pong table"", ""hu"": ""Ping-pong table"", ""it"": ""Tavolo da ping-pong"", ""pl"": ""Stół do ping-ponga"", ""ru"": ""Ping-pong table"", ""sl"": ""Miza za ping-pong"", ""uk"": ""Стіл для пінг-понгу"", ""zh"": ""Ping-pong table""}"
P214291;"{""de"": ""Fahrrad-Sharing-Ständer (Punkt)"", ""el"": ""Βάση για κοινόχρηστα ποδήλατα (σημείο)"", ""en"": ""Bike sharing rack (point)"", ""fi"": ""Bike sharing rack (point)"", ""fr"": ""Bike sharing rack (point)"", ""he"": ""Bike sharing rack (point)"", ""hu"": ""Bike sharing rack (point)"", ""it"": ""Rastrelliera porta bicicletta bike sharing - punto"", ""pl"": ""Stojak na rowery do wypożyczania (punkt)"", ""ru"": ""Bike sharing rack (point)"", ""sl"": ""Terminal za mestna kolesa"", ""uk"": ""Велосипедна стійка (крапка)"", ""zh"": ""Bike sharing rack (point)""}"
P214292;"{""de"": ""Hängender Blumentopf - Punkt"", ""el"": ""Κρεμαστή γλάστρα (σημείο)"", ""en"": ""Hanging planter (point)"", ""fi"": ""Hanging planter (point)"", ""fr"": ""Hanging planter (point)"", ""he"": ""Hanging planter (point)"", ""hu"": ""Hanging planter (point)"", ""it"": ""Fioriera sospesa - punto"", ""pl"": ""Donica podwieszana (punkt)"", ""ru"": ""Hanging planter (point)"", ""sl"": ""Obešanka (točkovna)"", ""uk"": ""Кашпо підвісне (крапка)"", ""zh"": ""Hanging planter (point)""}"
P214293;"{""de"": ""Mini-Basket Korb"", ""el"": ""Μπασκέτα μίνι-μπάσκετ"", ""en"": ""Mini-basketball basket"", ""fi"": ""Mini-basketball basket"", ""fr"": ""Mini-basketball basket"", ""he"": ""Mini-basketball basket"", ""hu"": ""Mini-basketball basket"", ""it"": ""Canestro mini basket"", ""pl"": ""Kosz do mini-koszykówki"", ""ru"": ""Mini-basketball basket"", ""sl"": ""Koš za mini košarko"", ""uk"": ""Міні баскетбольне кільце"", ""zh"": ""Mini-basketball basket""}"
P214294;"{""de"": ""Vogelnest"", ""el"": ""Φωλιά πουλιού"", ""en"": ""Bird nest"", ""fi"": ""Bird nest"", ""fr"": ""Bird nest"", ""he"": ""Bird nest"", ""hu"": ""Bird nest"", ""it"": ""Nido uccelli"", ""pl"": ""Ptasie gniazdo"", ""ru"": ""Bird nest"", ""sl"": ""Ptičje gnezdo"", ""uk"": ""Пташине гніздо"", ""zh"": ""Bird nest""}"
P214295;"{""de"": ""Minifussball Tor"", ""el"": ""Εστία μίνι ποδοσφαίρου"", ""en"": ""Minifootball goal"", ""fi"": ""Minifootball goal"", ""fr"": ""Minifootball goal"", ""he"": ""Minifootball goal"", ""hu"": ""Minifootball goal"", ""it"": ""Porta mini calcio"", ""pl"": ""Bramka do mini piłki nożnej"", ""ru"": ""Minifootball goal"", ""sl"": ""Gol za mini nogomet"", ""uk"": ""Тримач для міні-футболу"", ""zh"": ""Minifootball goal""}"
P214296;"{""de"": ""Sitzmöbel / Liegestuhl"", ""el"": ""Κάθισμα/καρέκλα"", ""en"": ""Seat/deckchair"", ""fi"": ""Seat/deckchair"", ""fr"": ""Seat/deckchair"", ""he"": ""Seat/deckchair"", ""hu"": ""Seat/deckchair"", ""it"": ""Seduta d'arredo / sdraio"", ""pl"": ""Siedzisko/leżak"", ""ru"": ""Seat/deckchair"", ""sl"": ""Sedež / ležalnik"", ""uk"": ""Сидіння/шезлонг"", ""zh"": ""Seat/deckchair""}"
P222056;"{""de"": ""Trinkbrunnen aus Stahl"", ""el"": ""Ατσάλινη βρύση πόσιμου νερού"", ""en"": ""Steel drinking fountain"", ""fi"": ""Steel drinking fountain"", ""fr"": ""Steel drinking fountain"", ""he"": ""Steel drinking fountain"", ""hu"": ""Steel drinking fountain"", ""it"": ""Fontanella in acciaio"", ""pl"": ""Pitnik stalowy"", ""ru"": ""Steel drinking fountain"", ""sl"": ""Jekleni pitnik"", ""uk"": ""Сталевий фонтан для пиття"", ""zh"": ""Steel drinking fountain""}"
P214281;"{""de"": ""Bodenlicht"", ""el"": ""Επιδαπέδιος προβολέας"", ""en"": ""Floor floodlight"", ""fi"": ""Floor floodlight"", ""fr"": ""Floor floodlight"", ""he"": ""Floor floodlight"", ""hu"": ""Floor floodlight"", ""it"": ""Faro a pavimento"", ""pl"": ""Reflektor podłogowy"", ""ru"": ""Floor floodlight"", ""sl"": ""Talna razsetljava"", ""uk"": ""Підлоговий прожектор"", ""zh"": ""Floor floodlight""}"
P214284;"{""de"": ""Wassertank"", ""el"": ""Δεξαμενή νερού"", ""en"": ""Water tank"", ""fi"": ""Water tank"", ""fr"": ""Water tank"", ""he"": ""Water tank"", ""hu"": ""Water tank"", ""it"": ""Cisterna d'acqua"", ""pl"": ""Zbiornik na wodę"", ""ru"": ""Water tank"", ""sl"": ""Vodna cisterna"", ""uk"": ""Резервуар для води"", ""zh"": ""Water tank""}"
P214285;"{""de"": ""Rugby-Tor"", ""el"": ""Εστία ράγκμπι"", ""en"": ""Rugby goal"", ""fi"": ""Rugby goal"", ""fr"": ""Rugby goal"", ""he"": ""Rugby goal"", ""hu"": ""Rugby goal"", ""it"": ""Porta rugby"", ""pl"": ""Bramka do rugby"", ""ru"": ""Rugby goal"", ""sl"": ""Gol za ragbi"", ""uk"": ""Тримач для регбі"", ""zh"": ""Rugby goal""}"
P214286;"{""de"": ""Volleyball Netz"", ""el"": ""Δίχτυ βόλεϊ"", ""en"": ""Volleyball net"", ""fi"": ""Volleyball net"", ""fr"": ""Volleyball net"", ""he"": ""Volleyball net"", ""hu"": ""Volleyball net"", ""it"": ""Rete da pallavolo"", ""pl"": ""Siatka do siatkówki"", ""ru"": ""Volleyball net"", ""sl"": ""Mreža za odbojko"", ""uk"": ""Волейбольна сітка"", ""zh"": ""Volleyball net""}"
P219012;"{""de"": ""Holzbank - Punkt"", ""el"": ""Ξύλινο παγκάκι (σημείο)"", ""en"": ""Wooden bench (point)"", ""fi"": ""Wooden bench (point)"", ""fr"": ""Wooden bench (point)"", ""he"": ""Wooden bench (point)"", ""hu"": ""Wooden bench (point)"", ""it"": ""Panchina in legno - punto"", ""pl"": ""Ławka drewniana (punkt)"", ""ru"": ""Wooden bench (point)"", ""sl"": ""Lesena klop posamič)"", ""uk"": ""Дерев'яна лавка (крапка)"", ""zh"": ""Wooden bench (point)""}"
P219019;"{""de"": ""Sitzbank aus PVC/Kunststoff – Punkt"", ""el"": ""Πλαστικό παγκάκι (σημείο)"", ""en"": ""Plastic bench (point)"", ""fi"": ""Plastic bench (point)"", ""fr"": ""Plastic bench (point)"", ""he"": ""Plastic bench (point)"", ""hu"": ""Plastic bench (point)"", ""it"": ""Panchina in PVC/plastica - punto"", ""pl"": ""Ławka plastikowa (punkt)"", ""ru"": ""Plastic bench (point)"", ""sl"": ""Plastična klop (posamič)"", ""uk"": ""Пластикова лавка (крапка)"", ""zh"": ""Plastic bench (point)""}"
P219024;"{""de"": ""Metallsitzbank - Punkt"", ""el"": ""Μεταλλικό παγκάκι (σημείο)"", ""en"": ""Iron bench (point)"", ""fi"": ""Iron bench (point)"", ""fr"": ""Iron bench (point)"", ""he"": ""Iron bench (point)"", ""hu"": ""Iron bench (point)"", ""it"": ""Panchina in ferro - punto"", ""pl"": ""Ławka żelazna (punkt)"", ""ru"": ""Iron bench (point)"", ""sl"": ""Železna klop (posamič)"", ""uk"": ""Залізна лавка (крапка)"", ""zh"": ""Iron bench (point)""}"
