"code";"label"
"3";"{""de"": ""Nutzung und Verwaltung"", ""el"": ""Διαχειριζόμενες"", ""en"": ""Use and Management"", ""fi"": ""Use and Management"", ""fr"": ""Utilisation et gestion"", ""he"": ""שימוש וניהול"", ""hu"": ""Használat és kezelés"", ""it"": ""Fruizione e gestione"", ""pl"": ""Obszary administracyjne"", ""ru"": ""Управление"", ""sl"": ""Uporaba in upravljanje"", ""uk"": ""Управління"", ""zh"": ""Use and Management""}"
"1";"{""de"": ""Vegetation"", ""el"": ""Βλάστηση"", ""en"": ""Vegetation"", ""fi"": ""Vegetation"", ""fr"": ""Végétation"", ""he"": ""צמחייה"", ""hu"": ""Vegetáció"", ""it"": ""Vegetazione"", ""pl"": ""Roślinność"", ""ru"": ""Зеленые насаждения"", ""sl"": ""Vegetacija"", ""uk"": ""Зелені насадження"", ""zh"": ""Vegetation""}"
"2";"{""de"": ""Gestaltungsobjekte"", ""el"": ""Εξοπλισμός"", ""en"": ""Urban furniture"", ""fi"": ""Urban furniture"", ""fr"": ""Mobilier urbain"", ""he"": ""ריהוט רחוב"", ""hu"": ""Utca bútorok"", ""it"": ""Arredo urbano"", ""pl"": ""Mała architektura"", ""ru"": ""Оборудование для улиц"", ""sl"": ""Urbana oprema"", ""uk"": ""Вуличні меблі"", ""zh"": ""Urban furniture""}"
