id,station_type,parent_id,carpark_id,name,municipality,name_en,name_it,name_de,standard_name,netex_type,netex_vehicletypes,netex_layout,netex_hazard_prohibited,netex_charging,netex_surveillance,netex_reservation,lat,lon
0604611_1,ParkingStation,0604611,1,Parcheggi impianti risalita Racines (zona 2),Racines - Ratschings,Parking Ratschings Jaufen (Zone 2),Parcheggi impianti risalita Racines (zona 2),Parkplätze Ratschings Jaufen (Zone 2),Parcheggi impianti risalita Racines (zona 2),parkingZone,allPassengerVehicles,underground,true,false,true,noReservations,46.864287776058,11.3088532446188
0605261,ParkingFacility,,,Parcheggio Seggovia Costabella Hotel Stella,Selva di Val Gardena - Wolkenstein in Gröden,Parking Chairlift Costabella Hotel Stella,Parcheggio Seggovia Costabella Hotel Stella,Parkplatz Chairlift Costabella Hotel Stella,Parcheggio Seggovia Costabella Hotel Stella,parkingZone,allPassengerVehicles,underground,true,false,true,noReservations,46.5522402365192,11.7633767495807
0605261_0,ParkingStation,0605261,0,Parcheggio Seggovia Costabella Hotel Stella (zona 1),Selva di Val Gardena - Wolkenstein in Gröden,Parking Chairlift Costabella Hotel Stella (Zone 1),Parcheggio Seggovia Costabella Hotel Stella (zona 1),Parkplatz Chairlift Costabella Hotel Stella (Zone 1),Parcheggio Seggovia Costabella Hotel Stella,parkingZone,allPassengerVehicles,underground,true,false,true,noReservations,46.5522402365192,11.7633767495807
0605261_1,ParkingStation,0605261,1,Parcheggio Seggovia Costabella Hotel Stella (zona 2),Selva di Val Gardena - Wolkenstein in Gröden,Parking Chairlift Costabella Hotel Stella (Zone 2),Parcheggio Seggovia Costabella Hotel Stella (zona 2),Parkplatz Chairlift Costabella Hotel Stella (Zone 2),Parcheggio Seggovia Costabella Hotel Stella,parkingZone,allPassengerVehicles,underground,true,false,true,noReservations,46.5522402365192,11.7633767495807
0607242,ParkingFacility,,,Parcheggio NOI Techpark,Bolzano - Bozen,Parking NOI Techpark,Parcheggio NOI Techpark,Parkplatz NOI Techpark,Parcheggio NOI Techpark,urbanParking,allPassengerVehicles,multistorey,true,true,true,noReservations,46.4795666759812,11.3308001147679
0607242_0,ParkingStation,0607242,0,Parcheggio NOI Techpark,Bolzano - Bozen,Parking NOI Techpark,Parcheggio NOI Techpark,Parkplatz NOI Techpark,Parcheggio NOI Techpark,urbanParking,allPassengerVehicles,multistorey,true,true,true,noReservations,46.4795666759812,11.3308001147679
0607440,ParkingFacility,,,Parcheggi Bressanone,Bressanone - Brixen,Parking Brixen,Parcheggi Bressanone,Parkplätze Brixen,Parcheggi Bressanone,urbanParking,allPassengerVehicles,openSpace,true,false,false,noReservations,46.71116,11.65217
0607440_0,ParkingStation,0607440,0,Parcheggio Centro Mobilità Bressanone,Bressanone - Brixen,Parking Mobilitätszentrum Brixen,Parcheggio Centro Mobilità Bressanone,Parkplatz Mobilitätszentrum Brixen,Parcheggio Centro Mobilità Bressanone,urbanParking,allPassengerVehicles,openSpace,true,false,false,noReservations,46.7136332098684,11.6504764478829
0607440_1,ParkingStation,0607440,1,Parcheggio Priel,Bressanone - Brixen,Parking Priel,Parcheggio Priel,Parkplatz Priel,Parcheggio Priel,urbanParking,allPassengerVehicles,openSpace,true,false,false,noReservations,46.7205684127695,11.6570903904947
0607440_2,ParkingStation,0607440,2,Parcheggio Rosslauf,Bressanone - Brixen,Parking Rosslauf,Parcheggio Rosslauf,Parkplatz Rosslauf,Parcheggio Rosslauf,urbanParking,allPassengerVehicles,underground,true,false,false,noReservations,46.7219292651473,11.6508966561547
